tournament_id,team_id,division_id,seed
2,6,3,1
2,7,3,4
2,10,3,3
2,11,3,2
2,12,3,5
2,13,3,6
2,14,,4
2,15,,
4,16,4,
6,21,,6
8,22,7,1
8,23,7,5
8,24,7,4
8,25,7,2
8,26,7,3
8,27,8,1
8,28,8,5
8,29,8,3
8,30,8,2
8,31,8,4
8,32,9,4
8,33,9,2
8,34,9,5
8,35,9,1
8,36,9,3
6,37,6,3
9,38,,
9,39,,
9,41,,
9,42,,
11,43,,2
12,44,12,
12,45,12,
12,46,12,
12,47,12,
12,48,12,
12,49,12,
12,50,12,
12,51,12,
20,52,14,
23,53,,1
27,54,19,1
27,55,19,2
27,56,19,3
27,57,19,4
27,58,19,5
33,59,22,1
33,60,22,5
33,61,22,3
33,62,22,2
33,63,22,4
33,64,22,6
39,66,,
45,79,,
45,80,,
45,81,,
45,82,,
56,96,31,1
56,97,31,3
56,98,31,2
56,99,31,4
56,100,31,5
58,111,34,1
58,112,34,2
58,113,34,3
58,114,34,4
58,115,34,5
58,116,34,6
58,117,34,7
58,118,34,8
58,119,34,9
58,120,34,10
58,121,34,11
58,122,34,12
58,123,33,1
58,124,33,2
58,125,33,3
58,126,33,4
58,127,33,5
58,128,33,6
58,129,33,7
58,130,33,8
58,131,33,9
58,132,33,10
58,133,33,11
58,134,33,12
58,135,33,13
58,136,33,14
58,137,33,15
58,138,33,16
58,139,33,17
58,140,33,18
58,141,33,19
58,142,33,20
56,143,32,1
56,144,32,2
56,145,32,3
56,146,32,4
55,147,,1
55,148,,2
55,149,,3
55,150,,4
55,151,,5
55,152,,6
55,153,,7
55,154,,8
55,155,,9
55,156,,10
55,157,,11
55,158,,12
55,159,,13
55,160,,14
55,161,,15
55,162,,16
55,163,,17
55,164,,18
55,165,,19
55,166,,20
55,167,,21
55,168,,22
55,169,,23
55,170,,24
55,171,,25
55,172,,26
55,173,,27
55,174,,28
60,175,37,1
60,176,37,2
60,177,37,3
60,178,37,4
60,179,37,5
60,180,37,6
60,181,37,7
60,182,37,8
60,183,37,9
60,184,37,10
60,185,37,11
60,186,37,12
60,187,37,13
60,188,37,14
60,189,37,15
60,190,37,16
61,191,,
62,192,38,1
62,193,38,2
62,194,38,3
62,195,38,4
62,196,38,5
62,197,38,6
62,198,38,7
62,200,38,8
62,201,38,9
62,202,38,10
62,203,38,11
62,204,38,12
62,205,38,13
62,206,38,14
62,207,38,15
62,208,38,16
67,221,40,6
73,226,45,1
73,227,45,2
73,228,45,3
73,229,45,4
73,230,45,5
73,231,45,6
73,232,45,7
73,233,45,8
73,234,46,1
73,235,46,2
73,236,46,3
73,237,46,4
73,238,46,5
73,239,46,6
73,240,46,7
73,241,46,8
73,242,47,1
73,243,47,2
73,244,47,3
73,245,47,4
73,246,47,5
73,247,47,6
73,248,47,7
73,249,47,8
73,250,48,1
73,251,48,2
73,252,48,3
73,253,48,4
73,254,48,5
73,255,48,6
73,256,48,7
73,257,48,8
73,258,49,1
73,259,49,2
73,260,49,3
73,261,49,4
73,262,49,5
73,263,49,6
73,264,49,7
73,265,49,8
73,266,50,1
73,267,50,2
73,268,50,3
73,269,50,4
73,270,50,5
73,271,50,6
73,272,50,7
73,273,50,8
78,278,,1
78,279,,2
78,280,,3
78,281,,4
78,282,,5
78,283,,6
78,284,,7
78,285,,8
80,286,,1
80,287,,2
80,288,,3
80,289,,8
80,290,,4
80,291,,5
80,292,,6
80,293,,7
82,294,54,1
82,295,54,2
82,296,54,3
82,297,54,4
82,298,54,5
82,299,54,6
82,300,54,7
82,301,54,8
82,302,54,9
82,303,54,10
85,304,,
67,305,40,1
67,306,40,2
67,307,40,4
67,308,40,5
67,309,40,7
67,310,40,8
88,311,,
88,312,55,
88,313,,
88,314,,
88,315,,
88,316,,
88,317,,
88,318,,
99,319,58,
99,320,58,
99,321,58,
99,322,58,
103,339,,1
103,340,,2
103,341,,3
103,342,,4
103,343,,5
103,344,,6
103,345,,7
103,346,,8
103,347,,9
103,348,,10
103,349,,11
103,350,,12
103,351,,13
103,352,,14
103,353,,15
103,354,,16
105,355,62,1
105,356,62,3
105,357,62,2
105,358,62,4
105,359,62,5
105,360,62,6
105,361,62,7
105,362,62,8
105,363,61,1
105,364,61,2
105,365,61,3
105,366,61,4
105,367,61,7
105,368,61,5
105,369,61,6
105,370,61,8
106,371,63,1
106,372,63,8
18,373,,2
109,374,68,1
109,375,68,2
109,376,68,3
109,377,68,4
109,378,68,5
109,379,68,6
109,380,68,7
109,381,68,8
109,382,68,9
109,383,68,10
109,384,68,11
109,385,69,22
109,386,68,12
109,387,68,13
109,388,68,14
109,389,69,1
109,390,69,2
109,391,69,3
