Name,Division,Seed
Phoenix,Open,E1
Shepherds,Open,F1
Grand Trunk,Open,G1
NSOM,Open,H1
Elements,Open,H2
Red Circus,Open,G2
Magma,Open,F2
Maverick,Open,E2
Borderline,Open,E3
Shrike,Open,F3
NADS,Open,G3
TORO,Open,H3
The Forgotten,Open,H4
Magma2,Open,G4
Quake,Open,F4
Sherbrooke's Club,Open,E4
BOAT,Open,E5
Iron Crow,Open,F5
Swift,Open,G5
Goose,Open,H5
Vintage,Women,I1
Iris,Women,J1
Salty,Women,K1
Terra,Women,L1
Stella,Women,L2
Storm,Women,K2
PPF,Women,J2
Lotus,Women,I2
Mystik,Women,I3
Eclipse,Women,J3
X-Squad,Women,K3
Rosie,Women,L3
Amazones,Women,L4
Qarma,Women,K4
Tempest,Women,J4
TORO (W),Women,I4
Wicked,Women,I5
Lily,Women,J5
Stella B,Women,K5
EXO,Women,L5
AERA,Women,I6
Polaris,Women,J6
Raft,Coed Comp,A1
Crash,Coed Comp,B1
Animals,Coed Comp,B2
Quest,Coed Comp,A2
Local 613,Coed Comp,A3
T-Rex,Coed Comp,B3
Zen,Coed Comp,B4
Skerj,Coed Comp,A4
Qrinqué,Coed Comp,A5
El Fuego,Coed Comp,B5
Uproar,Junior Open,C1
Hydro,Junior Open,D1
Ignite,Junior Open,C2
Havoc,Junior Open,D2
SHADS,Junior Open,D3
Scubaru Outbacks,Junior Open,C3
OTT,Junior Open,D4
Titane,Junior Open,C4
