 Team, Divsion, Seed
 Nor'easter,Monday,1
 Anteek,Monday,2
 Witness the Fitness,Monday,3
 Close Enough,Monday,4
 Fiasco,Monday,5
 SE7EN,Monday,6
 Fetch,Monday,7
 Supernova,Monday,8
 Mean People,Monday,9
 Middle Management,Monday,10
 YouthAndAgeia,Monday,11
 Spin City (M),Monday,12
 Carpe Disc,Monday,13
 In By That Cone,Monday,14
 Those Guys,Monday,15
 Nefarious Basselopes,Monday,16
 Throwdown,Monday,17
 Noodlehouse,Monday,18
 Physbees,Monday,19
 Willy Willy Big Disc,Monday,20
 I Like to Huck,Monday,21
 Here to Play,Monday,22
 Plumbers Conference,Monday,23
 Le Club des Musclés,Monday,24
 Summer Killer Bunnies,Monday,25
 Full Pull,Monday,26
 Flightans,Monday,27
 Swillbillies,Monday,28
 Wild Salmon,Monday,29
 Disc Fingers,Monday,30
 Dingoes,Monday,31
 Clan McClan,Monday,32
 The Most Interesting Tea,Monday,33
 The LadyByngers,Monday,34
 The Moops,Monday,35
 Blade Runners,Monday,36
 ultimate Elmo 2015,Monday,37
 District 12,Monday,38
 Black Velvet Elvis,Monday,39
 Non-Billable Hours,Monday,40
 Spastic Plastic,Monday,41
