Team,Division,Seed
Bellies ,Thursday,1
Truth Bombs /,Thursday,2
Top Gun 2.0 ,Thursday,3
Ewoks ,Thursday,4
Sargasm ,Thursday,5
Evolution ,Thursday,6
Drunk & Disc-Oriented ,Thursday,7
Ultimate Friskees (Summer 2015-Thursday) ,Thursday,8
Learned Hand ,Thursday,9
Green Bastards From Parts Unknown ,Thursday,10
SNAFU ,Thursday,11
SOUR ,Thursday,12
Loons ,Thursday,13
Drastic Plastic ,Thursday,14
Yargh! Nargh!!...Pirate Democracy ,Thursday,15
FrisbeeR ,Thursday,16
Turtles ,Thursday,17
NADS ,Thursday,18
Lookin' to Score - Summer ,Thursday,19
Rational Agents ,Thursday,20
The Moors ,Thursday,21
Random Fling ,Thursday,22
The Most Interesting Team In The World - Thursday ,Thursday,23
Carnies ,Thursday,24
Deep Diskin ,Thursday,25
THE MOTHERFLICKERS ,Thursday,26
Floppy Discs ,Thursday,27
Huck Huck Goose ,Thursday,28
Social Misflicks ,Thursday,29
Squeaky ,Thursday,30
Spin and Tonic ,Thursday,31
Ultimate Strippers ,Thursday,32
Disco Crew 2015 /,Thursday,33
Frisbeasts /,Thursday,34
Drunken Monkeys /,Thursday,35
"Team, Eh? +",Thursday,36
