Team,Division,Seed
Doggie,Tuesday,1
Ultimate Friskees,Tuesday,2
Get-A-Grip,Tuesday,3
Huck 'n' Give'r,Tuesday,4
EBU,Tuesday,5
Disc-o-Knights,Tuesday,6
WOLF,Tuesday,7
Screaming Vikings,Tuesday,8
Tractor Pulls,Tuesday,9
Syndicate,Tuesday,10
Montego Bay Lobsters,Tuesday,11
Stinkbutt Returns,Tuesday,12
Screaming Yellow Zonkers,Tuesday,13
The International,Tuesday,14
Hip Huckers,Tuesday,15
Dr Teeth,Tuesday,16
Two Left Hands,Tuesday,17
Capital Punishment,Tuesday,18
Disc Connected,Tuesday,19
Disc-O-Fever,Tuesday,20
Disk-O-Frogs,Tuesday,21
Handlers of Catan,Tuesday,22
It's A Frisbee,Tuesday,23
Turn it Up to 11,Tuesday,24
Mardi Grass +,Tuesday,25
Huck It Trebek,Tuesday,26
Bazinga,Tuesday,27
Bullets,Tuesday,28
Just Flick It,Tuesday,29
