Team,Division,Seed
GDD ,Wednesday,1
"Hey coach, put me on!!! ",Wednesday,2
Flibbertigibbets ,Wednesday,3
Le Programme ,Wednesday,4
Old Money! ,Wednesday,5
The Lucky Strikes ,Wednesday,6
Airtight ,Wednesday,7
Jousting Disco Camels ,Wednesday,8
Chicken Huckers ,Wednesday,9
The Centretowne Corruption ,Wednesday,10
Where's My Couch ,Wednesday,11
Sofa King ,Wednesday,12
FUSE ,Wednesday,13
Ma House ,Wednesday,14
Fabulous Flying Flamingoes ,Wednesday,15
Dick & Jane Layout,Wednesday,16
Samurai Mutant Ultimate Team (SMUT) ,Wednesday,17
Super Heroes in Training ,Wednesday,18
Very Hungry Caterpillars ,Wednesday,19
Spin City (W) ,Wednesday,20
Flippin' Flip ,Wednesday,21
Chicago Deep Disc,Wednesday,22
Moby Discs +,Wednesday,23
Shiny,Wednesday,24
Luscious Slick Discs ,Wednesday,25
Plutonic Love ,Wednesday,26
Huck'n' Irish ,Wednesday,27
Frisbee Pie Company ,Wednesday,28
Corporate Discs ,Wednesday,29
Soulless Taxicab ,Wednesday,30
Flick My Disc ,Wednesday,31
Big Red,Wednesday,32
JeuneS EXtrême ,Wednesday,33
Lewd Pelvic Gyrations ,Wednesday,34
Bytown Bonobos ,Wednesday,35
Spinnin' Tonic,Wednesday,36
Git-R-Done ,Wednesday,37
MILLAA ,Wednesday,38
Scooby Snacks ,Wednesday,39
Infrequent Flyers ,Wednesday,40
GLAD! ,Wednesday,41
Freshly Squeezed ,Wednesday,42
Gang Greene - summer ,Wednesday,43
Day of the Disc ,Wednesday,44
Third Half Heroes ,Wednesday,45
No Clue ,Wednesday,46
Disc Throw Inferno ,Wednesday,47
Rock Lobster,Wednesday,48
Opiates of the Grasses ,Wednesday,49
Rainbow Trout,Wednesday,50
Stretch Armstrong ,Wednesday,51
