Name,Division,Seed
Swift,Open,15
Shrike,Open,9
Phoenix,Open,1
Quake,Open,5
Sherbrooke Gentleman's CL,Open,14
Magma,Open,7
Mephisto,Open,16
Red Circus,Open,6
Iron Crow,Open,13
Alberta Flatball Club,Open,8
Grand Trunk,Open,2
Maverick,Open,12
Maul,Open,4
NADS,Open,10
NSOM,Open,3
T-Rex,Open,11
Salty,Women,3
QUB,Women,5
Flurry,Women,9
Terra,Women,6
Iris,Women,1
Tempest,Women,4
Eclipse,Women,8
X-Squad,Women,10
Quasar,Women,15
Nebula,Women,11
Stella A,Women,2
Stella B,Women,16
Mystik,Women,12
Roc Paper Scissors,Women,14
Storm,Women,7
TOX6ix,Women,13
Wicked East,JR Women,5
Wicked West,JR Women,2
TORO,JR Women,3
The Pride,JR Women,4
Aera,JR Women,1
HAVOC,JR Open,6
UPROAR,JR Open,4
ENERGY,JR Open,8
Ignite,JR Open,3
Scorch,JR Open,7
Blaze,JR Open,9
Titane,JR Open,5
Hydro,JR Open,2
TORO,JR Open,1
Anchor Ultimate,Mixed,3
Raft,Mixed,7
Crash,Mixed,1
Thunder,Mixed,11
Local 613,Mixed,5
Force,Mixed,6
Quest,Mixed,8
Animals,Mixed,12
Zen,Mixed,10
Backdraft,Mixed,4
Battleship,Mixed,2
Sriracha,Mixed,9
Frisbros,Coed Rec,2
Chicago Deep Disc,Coed Rec,5
Shifty,Coed Rec,3
Super Sexy Muffins,Coed Rec,4
Bonesaw 2.0,Coed Rec,1
Hat Team,Coed Rec,6
